Category,Start time,End time
Screen ,2015-10-01 07:10:01,2015-10-01 07:10:10
Screen ,2015-10-01 07:00:14,2015-10-01 07:00:28
Screen ,2015-10-01 07:00:01,2015-10-01 07:00:12
Screen ,2015-10-01 05:45:23,2015-10-01 06:24:32
Screen ,2015-10-01 05:36:39,2015-10-01 05:45:16
Screen ,2015-10-01 05:30:03,2015-10-01 05:34:59
Screen ,2015-10-01 00:02:53,2015-10-01 00:49:50
Screen ,2015-10-01 00:02:35,2015-10-01 00:02:42
Screen ,2015-10-01 00:01:34,2015-10-01 00:02:22
Screen ,2015-09-30 23:59:54,2015-10-01 00:01:33
Home ,2015-09-30 23:46:22,2015-10-01 08:30:21
Screen ,2015-09-30 23:46:06,2015-09-30 23:52:00
Screen ,2015-09-30 23:36:45,2015-09-30 23:36:47
Screen ,2015-09-30 23:29:55,2015-09-30 23:30:02
Driving,2015-09-30 23:29:05,2015-09-30 23:46:10
Driving,2015-09-30 23:18:26,2015-09-30 23:29:05
Screen ,2015-09-30 23:10:35,2015-09-30 23:11:08
Screen ,2015-09-30 23:10:11,2015-09-30 23:10:16
Screen ,2015-09-30 21:22:23,2015-09-30 21:22:25
Screen ,2015-09-30 21:20:15,2015-09-30 21:21:10
Screen ,2015-09-30 21:17:15,2015-09-30 21:17:48
Screen ,2015-09-30 21:15:01,2015-09-30 21:15:21
Screen ,2015-09-30 21:07:21,2015-09-30 21:07:33
Screen ,2015-09-30 21:03:12,2015-09-30 21:03:14
Driving,2015-09-30 20:58:51,2015-09-30 21:15:07
Screen ,2015-09-30 20:34:57,2015-09-30 20:57:53
Screen ,2015-09-30 20:34:57,2015-09-30 20:34:57
Screen ,2015-09-30 19:27:13,2015-09-30 19:27:15
Screen ,2015-09-30 19:26:56,2015-09-30 19:27:01
Screen ,2015-09-30 19:11:11,2015-09-30 19:24:27
Screen ,2015-09-30 18:50:25,2015-09-30 18:50:34
Screen ,2015-09-30 18:49:22,2015-09-30 18:50:24
Screen ,2015-09-30 18:48:28,2015-09-30 18:49:20
Screen ,2015-09-30 17:57:25,2015-09-30 17:58:04
Screen ,2015-09-30 17:53:33,2015-09-30 17:54:08
Home ,2015-09-30 17:53:33,2015-09-30 20:59:38
Screen ,2015-09-30 17:50:09,2015-09-30 17:50:27
Screen ,2015-09-30 17:46:41,2015-09-30 17:47:36
Screen ,2015-09-30 17:41:38,2015-09-30 17:41:58
Screen ,2015-09-30 17:39:25,2015-09-30 17:39:47
Driving,2015-09-30 17:37:46,2015-09-30 17:53:38
Screen ,2015-09-30 17:35:30,2015-09-30 17:36:23
Screen ,2015-09-30 17:27:25,2015-09-30 17:27:40
Screen ,2015-09-30 16:47:30,2015-09-30 16:49:52
Screen ,2015-09-30 16:35:23,2015-09-30 16:36:27
Screen ,2015-09-30 16:08:14,2015-09-30 16:08:18
Screen ,2015-09-30 15:59:02,2015-09-30 15:59:11
Screen ,2015-09-30 15:58:54,2015-09-30 15:59:00
Screen ,2015-09-30 15:57:59,2015-09-30 15:58:51
Screen ,2015-09-30 15:51:28,2015-09-30 15:52:31
Screen ,2015-09-30 15:50:07,2015-09-30 15:51:23
Screen ,2015-09-30 15:48:26,2015-09-30 15:49:51
Screen ,2015-09-30 15:43:21,2015-09-30 15:48:15
Screen ,2015-09-30 15:40:57,2015-09-30 15:41:04
Screen ,2015-09-30 15:40:21,2015-09-30 15:40:25
Screen ,2015-09-30 15:35:34,2015-09-30 15:35:43
Screen ,2015-09-30 15:22:00,2015-09-30 15:22:06
Screen ,2015-09-30 15:21:29,2015-09-30 15:21:32
Screen ,2015-09-30 15:21:01,2015-09-30 15:21:16
Screen ,2015-09-30 15:05:11,2015-09-30 15:05:23
Screen ,2015-09-30 14:21:31,2015-09-30 14:21:52
Screen ,2015-09-30 13:52:43,2015-09-30 13:52:58
Screen ,2015-09-30 12:33:15,2015-09-30 12:33:25
Screen ,2015-09-30 12:07:17,2015-09-30 12:07:21
Screen ,2015-09-30 12:05:53,2015-09-30 12:06:07
Screen ,2015-09-30 11:57:06,2015-09-30 12:00:24
Screen ,2015-09-30 11:55:48,2015-09-30 11:56:40
Screen ,2015-09-30 11:55:06,2015-09-30 11:55:26
Screen ,2015-09-30 11:35:46,2015-09-30 11:36:22
Screen ,2015-09-30 11:33:37,2015-09-30 11:34:53
Screen ,2015-09-30 11:01:08,2015-09-30 11:03:07
Screen ,2015-09-30 09:48:37,2015-09-30 09:51:16
Screen ,2015-09-30 09:31:53,2015-09-30 09:32:13
Screen ,2015-09-30 09:29:04,2015-09-30 09:29:17
Screen ,2015-09-30 09:27:08,2015-09-30 09:27:22
Screen ,2015-09-30 09:23:00,2015-09-30 09:23:46
Screen ,2015-09-30 09:22:05,2015-09-30 09:22:24
Screen ,2015-09-30 09:20:42,2015-09-30 09:21:28
Screen ,2015-09-30 09:19:07,2015-09-30 09:19:51
Screen ,2015-09-30 09:18:46,2015-09-30 09:18:50
Screen ,2015-09-30 09:16:56,2015-09-30 09:18:18
Screen ,2015-09-30 09:14:43,2015-09-30 09:15:32
Screen ,2015-09-30 09:11:58,2015-09-30 09:13:00
Screen ,2015-09-30 08:39:01,2015-09-30 08:39:59
WORK,2015-09-30 08:30:03,2015-09-30 17:35:36
Screen ,2015-09-30 08:29:59,2015-09-30 08:30:11
Screen ,2015-09-30 08:27:07,2015-09-30 08:27:20
Screen ,2015-09-30 08:15:26,2015-09-30 08:15:49
Driving,2015-09-30 08:12:40,2015-09-30 08:27:10
Screen ,2015-09-30 08:12:38,2015-09-30 08:12:45
Home ,2015-09-30 08:09:16,2015-09-30 08:13:12
Screen ,2015-09-30 08:08:50,2015-09-30 08:08:58
Screen ,2015-09-30 08:06:49,2015-09-30 08:06:55
